﻿ID,Name,Xiuyi,Tipao,Shouming,Qiyun,Yuanshen,Weight,Quality
string,词条名称,修为,体魄,寿命,气运,元神,权重,品质
1,凡胎肉体,5,8,8,0,0,10000,1
2,资质平平,10,0,0,5,0,10000,1
3,体质普通,0,8,0,0,5,10000,1
4,命途多舛,5,0,12,-3,0,10000,1
5,灵气亲和,25,0,0,10,0,8000,2
6,体魄强健,0,35,20,0,0,8000,2
7,慧根深种,25,0,0,0,15,8000,2
8,长寿之相,0,20,50,0,0,8000,2
9,道基稳固,35,0,12,0,0,8000,2
10,福缘深厚,5,0,12,25,0,8000,2
11,仙骨天成,30,15,0,15,0,5000,3
12,元神充沛,15,0,0,0,25,5000,3
13,天煞孤星,40,0,0,-8,0,5000,3
14,紫气东来,30,0,12,10,10,5000,3
15,铜皮铁骨,0,45,25,0,0,5000,3
16,星辰之体,25,20,0,10,10,5000,3
17,灵台清明,30,0,0,0,20,5000,3
18,龙虎之姿,15,30,0,15,5,5000,3
19,天命之子,5,0,0,35,20,2000,4
20,混沌之体,35,30,18,0,0,2000,4
21,先天道体,45,0,0,15,15,2000,4
22,太乙真骨,30,15,25,10,10,2000,4
23,九转金身,0,50,35,0,10,2000,4
24,通天灵根,40,0,0,10,25,2000,4
25,鸿蒙道种,50,15,12,10,10,2000,4
26,万古仙胎,40,25,0,0,35,500,5
27,天道宠儿,30,15,25,25,25,500,5
28,无上道基,55,0,18,10,20,500,5
29,太古神体,15,55,30,10,10,500,5
30,造化之子,35,20,12,30,30,500,5
