ID,PillName,PillType,EffectType,EffectValue,BreakthroughLevel,PillQuality,BaseRate,PillBonus,FailLifeLossRate,FailXiuyiLossRate
int,丹药名,丹药类型(1突破丹/2辅助丹),效果属性(Xiuyi修为/Tipao体魄/Life寿命),效果数值,突破瓶颈等级(突破丹专用),丹药品质(1下品/2中品/3上品),基础突破几率(突破丹专用),丹药加成几率(突破丹专用),失败寿命损失比例(突破丹专用),失败修为损失比例(突破丹专用)
40001,下品筑基丹,1,,0,10,1,0.4,0.1,0.08,0.2
40002,中品筑基丹,1,,0,10,2,0.4,0.2,0.08,0.2
40003,上品筑基丹,1,,0,10,3,0.4,0.3,0.08,0.2
40011,下品金丹丹,1,,0,20,1,0.3,0.1,0.1,0.25
40012,中品金丹丹,1,,0,20,2,0.3,0.2,0.1,0.25
40013,上品金丹丹,1,,0,20,3,0.3,0.3,0.1,0.25
40021,下品元婴丹,1,,0,30,1,0.25,0.1,0.12,0.3
40022,中品元婴丹,1,,0,30,2,0.25,0.2,0.12,0.3
40023,上品元婴丹,1,,0,30,3,0.25,0.3,0.12,0.3
40031,下品化神丹,1,,0,40,1,0.2,0.1,0.14,0.35
40032,中品化神丹,1,,0,40,2,0.2,0.2,0.14,0.35
40033,上品化神丹,1,,0,40,3,0.2,0.3,0.14,0.35
40041,下品炼虚丹,1,,0,50,1,0.15,0.1,0.16,0.38
40042,中品炼虚丹,1,,0,50,2,0.15,0.2,0.16,0.38
40043,上品炼虚丹,1,,0,50,3,0.15,0.3,0.16,0.38
40051,下品合体丹,1,,0,60,1,0.1,0.1,0.18,0.42
40052,中品合体丹,1,,0,60,2,0.1,0.2,0.18,0.42
40053,上品合体丹,1,,0,60,3,0.1,0.3,0.18,0.42
40061,下品大乘丹,1,,0,70,1,0.08,0.12,0.2,0.45
40062,中品大乘丹,1,,0,70,2,0.08,0.22,0.2,0.45
40063,上品大乘丹,1,,0,70,3,0.08,0.32,0.2,0.45
40071,下品渡劫丹,1,,0,80,1,0.05,0.15,0.25,0.5
40072,中品渡劫丹,1,,0,80,2,0.05,0.25,0.25,0.5
40073,上品渡劫丹,1,,0,80,3,0.05,0.35,0.25,0.5
40101,培元丹,2,Xiuyi,50,0,0,0,0,0,0
40102,聚灵丹,2,Tipao,30,0,0,0,0,0,0
40103,固本丹,2,Life,10,0,0,0,0,0,0
