ID,DropGroupID,DropType,RefID,MinCount,MaxCount,Weight
int,掉落组ID,类型(1物品/2装备),引用ID(物品ID或装备品质),最小数量,最大数量,权重
1,1,1,20001,2,5,3000
2,1,1,20002,2,5,3000
3,1,1,20003,2,5,3000
4,1,1,20004,2,4,2500
5,1,2,1,1,1,2000
40,1,1,30001,2,3,1500
60,1,1,50001,2,5,2000
61,1,1,40101,1,2,300
6,2,1,20001,3,8,2500
7,2,1,20002,3,8,2500
8,2,1,20003,3,8,2500
9,2,1,20004,2,5,2500
10,2,1,20005,1,3,1800
11,2,2,1,1,1,2000
41,2,1,30001,2,3,1500
42,2,1,30002,1,2,1000
62,2,1,50001,3,6,2000
63,2,1,50002,2,4,1500
64,2,1,40001,1,1,80
66,2,1,40101,1,2,400
12,3,1,20001,5,12,2000
13,3,1,20002,5,12,2000
14,3,1,20003,5,12,2000
15,3,1,20005,2,5,2000
16,3,1,20004,3,8,1800
17,3,2,2,1,1,2500
43,3,1,30002,2,3,1500
44,3,1,30003,1,2,1000
67,3,1,50002,3,6,2000
68,3,1,50003,2,4,1500
69,3,1,40011,1,1,60
71,3,1,40102,1,2,400
18,4,1,20001,8,18,2000
19,4,1,20002,8,18,1500
20,4,1,20003,8,18,1500
21,4,1,20005,3,8,2000
22,4,1,20006,2,4,1800
23,4,2,2,1,1,2000
24,4,2,3,1,1,1500
45,4,1,30003,2,3,1500
46,4,1,30004,1,2,1000
72,4,1,50003,3,6,2000
73,4,1,50004,2,4,1500
74,4,1,40021,1,1,45
76,4,1,40103,1,2,400
25,5,1,20001,12,25,1500
26,5,1,20009,2,5,1200
27,5,1,20002,10,20,1500
28,5,1,20006,3,6,2000
29,5,1,20007,2,4,1800
30,5,2,3,1,1,2000
31,5,2,4,1,1,1500
47,5,1,30004,2,3,1500
48,5,1,30005,1,2,1000
77,5,1,50004,3,6,2000
78,5,1,50005,2,4,1500
79,5,1,40031,1,1,35
81,5,1,40102,1,3,400
32,6,1,20001,18,40,1200
33,6,1,20009,3,8,1500
34,6,1,20010,2,4,1000
35,6,1,20006,5,10,2000
36,6,1,20007,2,5,1800
37,6,1,20008,1,2,800
38,6,2,4,1,1,2000
39,6,2,5,1,1,1500
49,6,1,30005,2,3,1200
82,6,1,50005,3,6,2000
83,6,1,40041,1,1,30
85,6,1,40051,1,1,20
86,6,1,40103,1,3,400
