﻿ID,StageName,RequiredLevel,MinClearTime,MonsterGroupID,DropGroupID,DeathPenalty,RewardCount,RewardTypes,XiuyiReward
,关卡名,需要境界等级ID,通关最短时间秒,怪物组ID,掉落组ID,失败惩罚等级(1无/2修为5%寿命2%/3修为10%寿命5%/4修为20%寿命10%/5修为30%寿命15%),奖励总数量,奖励种类数(从掉落组随机选几种),通关修为奖励
1,迷雾森林,1,8,99910001,1,1,6,2,10
2,灵兽谷,3,12,99910002,1,1,10,3,20
3,幽暗洞穴,5,16,99910003,2,2,12,3,35
4,落日峡谷,8,20,99910004,2,2,15,3,50
5,雷鸣山脉,10,25,99910005,3,2,18,4,80
6,冰封之地,13,30,99910006,3,3,22,4,120
7,焚天火域,16,35,99910007,4,3,25,4,180
8,九幽深渊,19,40,99910008,4,3,30,5,250
9,万妖之墟,22,45,99910009,5,4,35,5,350
10,天劫秘境,25,50,99910010,5,4,40,5,480
11,混沌虚空,28,55,99910011,5,4,45,6,650
12,仙魔战场,31,60,99910012,6,4,50,6,850
13,太虚幻境,34,65,99910013,6,5,55,6,1100
14,天道试炼,38,75,99910014,6,5,65,7,1500
15,飞升之路,42,85,99910015,6,5,80,7,2000
