ID,Monster1,Monster2,Monster3,Monster4,Monster5
int,怪物1,怪物2,怪物3,怪物4,怪物5
99910001,999910001,999910002,999910003,,
99910002,999910004,999910005,999910006,,
99910003,999910003,999910005,999910006,999910007,
99910004,999910006,999910007,999910008,999910009,
99910005,999910008,999910009,999910010,999910011,
99910006,999910010,999910011,999910012,999910013,
99910007,999910012,999910013,999910014,999910015,999910016
99910008,999910015,999910016,999910017,999910018,
99910009,999910017,999910018,999910019,999910020,999910021
99910010,999910020,999910021,999910022,999910023,
99910011,999910022,999910023,999910024,999910025,
99910012,999910024,999910025,999910026,999910027,
99910013,999910026,999910027,999910028,,
99910014,999910028,999910029,,,
99910015,999910029,999910030,,,
