ID,MonsterName,Attack,HP,Defense,CriticalRate,Mastery,MasteryDefense,Dodge
int,怪物名,攻击,生命,防御,暴击率,精通,精通防御,闪避
999910001,灵狐妖,15,80,5,5,3,2,8
999910002,石甲兽,10,150,15,2,1,5,3
999910003,毒雾蛇,20,60,3,8,5,1,12
999910004,幽魂鬼,18,70,4,10,8,3,10
999910005,青风狼,22,90,8,6,4,4,7
999910006,赤焰虎,30,120,10,7,5,3,5
999910007,冰霜蛟,28,180,18,4,6,8,4
999910008,雷鸣鹰,35,100,7,12,7,4,15
999910009,暗影蝠,25,80,5,15,10,2,18
999910010,岩甲龟,12,300,30,1,2,15,1
999910011,风行豹,40,110,8,10,6,5,14
999910012,烈焰狮,45,160,15,8,8,6,6
999910013,冰魄蟒,38,200,20,5,12,10,5
999910014,雷翼蜂,42,90,6,18,9,3,20
999910015,毒牙蜘蛛,35,130,12,8,15,7,8
999910016,暗夜魔狼,50,180,18,10,8,8,10
999910017,碧落天蛇,55,220,22,7,18,12,7
999910018,赤血鬼王,60,250,20,12,10,10,8
999910019,冥界幽灵,48,150,10,15,20,5,16
999910020,噬魂妖蛾,52,170,14,14,16,8,12
999910021,九幽冥蟒,70,350,28,8,15,15,5
999910022,天火凤凰,75,280,22,12,12,10,10
999910023,虚空魔蛛,65,300,25,10,22,18,8
999910024,雷霆战熊,80,400,35,6,8,20,3
999910025,混沌魔龙,90,500,30,10,18,15,6
999910026,太虚灵鹤,60,200,15,8,25,12,20
999910027,万妖之王,100,600,35,12,20,18,5
999910028,天劫雷兽,110,550,30,15,15,15,8
999910029,仙魔双面佛,120,700,40,10,25,22,6
999910030,飞升守卫,150,1000,50,12,30,25,5
