ID,RecipeName,RecipeDesc,ResultItemID,ResultCount,Material1ID,Material1Count,Material2ID,Material2Count,Material3ID,Material3Count
int,配方名,配方描述,产出物品ID,产出数量,材料1ID,材料1数量,材料2ID,材料2数量,材料3ID,材料3数量
1,下品筑基丹,练气大圆满突破筑基(下品),40001,1,20004,5,50001,3,0,0
2,中品筑基丹,练气大圆满突破筑基(中品),40002,1,20004,10,50001,5,50002,1
3,上品筑基丹,练气大圆满突破筑基(上品),40003,1,20004,18,50001,10,50002,3
4,下品金丹丹,筑基大圆满突破金丹(下品),40011,1,20005,5,50002,3,0,0
5,中品金丹丹,筑基大圆满突破金丹(中品),40012,1,20005,10,50002,5,50003,1
6,上品金丹丹,筑基大圆满突破金丹(上品),40013,1,20005,18,50002,10,50003,3
7,下品元婴丹,金丹大圆满突破元婴(下品),40021,1,20006,5,50003,3,0,0
8,中品元婴丹,金丹大圆满突破元婴(中品),40022,1,20006,10,50003,5,50004,1
9,上品元婴丹,金丹大圆满突破元婴(上品),40023,1,20006,18,50003,10,50004,3
10,下品化神丹,元婴大圆满突破化神(下品),40031,1,20007,5,50004,3,0,0
11,中品化神丹,元婴大圆满突破化神(中品),40032,1,20007,10,50004,5,50005,1
12,上品化神丹,元婴大圆满突破化神(上品),40033,1,20007,18,50004,10,50005,3
13,下品炼虚丹,化神大圆满突破炼虚(下品),40041,1,20007,8,50004,4,50005,1
14,中品炼虚丹,化神大圆满突破炼虚(中品),40042,1,20007,15,50004,8,50005,3
15,上品炼虚丹,化神大圆满突破炼虚(上品),40043,1,20008,5,50005,5,50004,10
16,下品合体丹,炼虚大圆满突破合体(下品),40051,1,20008,5,50005,3,50004,5
17,中品合体丹,炼虚大圆满突破合体(中品),40052,1,20008,10,50005,5,20010,2
18,上品合体丹,炼虚大圆满突破合体(上品),40053,1,20008,18,50005,10,20010,5
19,下品大乘丹,合体大圆满突破大乘(下品),40061,1,20008,10,50005,5,20010,2
20,中品大乘丹,合体大圆满突破大乘(中品),40062,1,20008,18,50005,10,20010,5
21,上品大乘丹,合体大圆满突破大乘(上品),40063,1,20008,30,50005,18,20010,10
22,下品渡劫丹,大乘大圆满突破渡劫(下品),40071,1,20008,18,50005,10,20010,5
23,中品渡劫丹,大乘大圆满突破渡劫(中品),40072,1,20008,30,50005,18,20010,10
24,上品渡劫丹,大乘大圆满突破渡劫(上品),40073,1,20008,45,50005,30,20010,18
25,培元丹,服用后修为+50,40101,3,20004,3,50001,2,0,0
26,聚灵丹,服用后体魄+30,40102,2,20005,3,50002,2,0,0
27,固本丹,服用后寿命+10,40103,2,20006,3,50003,2,0,0
