ID,BuildType,BuildIndex,CostItemID1,CostCount1,CostItemID2,CostCount2,Description
int,建筑类型(1=灵田2=灵池),建筑序号,材料1物品ID,材料1数量,材料2物品ID,材料2数量,描述
1,1,1,0,0,0,0,初始灵田（免费）
2,1,2,20001,50,20002,10,开垦第2块灵田
3,1,3,20001,100,20002,20,开垦第3块灵田
4,1,4,20001,200,20002,40,开垦第4块灵田
5,1,5,20001,400,20002,80,开垦第5块灵田
6,1,6,20001,800,20004,10,开垦第6块灵田
7,1,7,20001,1500,20005,5,开垦第7块灵田
8,1,8,20009,3,20005,10,开垦第8块灵田
9,1,9,20009,8,20006,5,开垦第9块灵田
10,1,10,20009,15,20006,10,开垦第10块灵田
11,1,11,20009,30,20007,3,开垦第11块灵田
12,1,12,20009,60,20007,8,开垦第12块灵田
13,2,1,0,0,0,0,初始灵池（免费）
14,2,2,20001,100,20002,20,升级灵池至2级
15,2,3,20001,300,20004,10,升级灵池至3级
16,2,4,20001,800,20005,8,升级灵池至4级
17,2,5,20009,3,20006,5,升级灵池至5级
18,2,6,20009,10,20006,15,升级灵池至6级
19,2,7,20009,30,20007,5,升级灵池至7级
20,2,8,20009,80,20007,15,升级灵池至8级
21,2,9,20010,1,20008,5,升级灵池至9级
22,2,10,20010,3,20008,15,升级灵池至10级
