ID,Slot,ItemType,RefID,LevelMin,LevelMax,Weight,Price,PriceCurrency
int,栏位(1-6),类型(1物品/2装备品质),引用ID,最低等级,最高等级,刷新权重,价格数量,价格货币ID(物品ID)
1,1,1,20004,1,5,3000,5,20001
2,1,1,20005,1,5,2000,3,20001
3,1,1,20002,1,5,3000,3,20001
4,1,1,20003,1,5,3000,3,20001
5,1,1,20006,6,13,2000,10,20001
6,1,1,20007,9,42,1500,30,20001
7,1,1,20008,14,42,800,100,20001
8,2,1,20004,1,5,2500,8,20001
9,2,1,20005,1,8,2500,5,20001
10,2,1,20006,6,13,2000,15,20001
11,2,1,20007,9,42,1500,50,20001
12,2,1,20008,14,42,800,150,20001
13,2,2,1,1,5,3000,20,20001
14,2,2,2,6,13,2000,80,20001
15,2,2,3,9,17,1500,200,20001
16,3,2,1,1,5,3000,25,20001
17,3,2,2,6,13,2500,100,20001
18,3,2,3,9,17,2000,250,20001
19,3,2,4,12,42,1500,500,20001
20,3,2,5,14,42,800,1000,20009
21,4,2,1,1,5,3000,30,20001
22,4,2,2,6,13,2500,120,20001
23,4,2,3,9,17,2000,300,20001
24,4,2,4,12,42,1500,600,20001
25,4,2,5,14,42,800,2,20009
27,5,1,20009,6,13,2000,500,20001
28,5,1,20010,9,42,1500,500,20009
29,5,1,20011,14,42,800,500,20010
30,5,1,20004,1,8,3000,3,20001
31,5,1,20005,3,13,2500,8,20001
32,5,1,20006,6,17,2000,25,20001
33,6,1,20002,1,42,3000,5,20001
34,6,1,20003,1,42,3000,5,20001
35,6,1,20004,1,8,2500,8,20001
36,6,1,20005,3,13,2000,15,20001
37,6,1,20006,6,17,2000,40,20001
38,6,1,20007,9,42,1500,80,20001
39,6,1,20008,14,42,800,200,20009
40,1,1,30011,1,42,2500,5,20001
41,1,1,30012,3,42,1500,15,20001
42,1,1,30013,6,42,800,40,20001
