ID,Desc,Xiuyi,Tipao,Shouming,Qiyun,Yuanshen,Weight,EquipmentID,LevelMin,LevelMax,ItemID,ItemCount
string,事件描述,修为,体魄,寿命,气运,元神,权重,装备ID,1,2,物品ID,物品数量
1,你在山间偶遇灵泉，沐浴后神清气爽,18,8,0,0,5,10000,10001,1,9,,
2,你打坐时感悟天地大道，修为小有所增,25,0,0,0,8,10000,10001,1,9,,
3,你误食毒果，身体受损,-3,-5,-3,0,0,10000,10001,1,9,,
4,你路见不平拔刀相助，获得气运加持,8,5,0,15,0,10000,10001,1,9,,
5,你遭遇心魔侵扰，元神受损,-3,0,0,0,-5,10000,10001,1,9,,
6,你在山洞中发现残破玉简，参悟后小有收获,28,0,0,0,5,9000,10001,1,9,,
7,你常年苦练体术，筋骨变得更加坚韧,5,18,0,0,0,9000,10001,1,9,,
8,你偶遇仙鹤指路，发现一处灵气充裕之地,20,12,0,8,8,8000,10001,1,9,,
9,你遭遇山洪暴发，狼狈逃脱,-2,-6,-4,0,0,8000,10001,1,9,,
10,你救助受伤灵狐，它赠你一颗灵果,12,5,0,15,0,8000,10001,1,9,20001,3
11,你静心打坐三日，元神得到滋养,8,0,0,0,12,8000,10001,1,9,,
12,你虚度光阴，游山玩水一无所获,-2,0,-2,-2,0,10000,10001,1,9,,
13,你在集市购得一本功法残卷，修炼后略有进益,30,0,0,0,0,7000,10001,1,9,,
14,你吞服师父赐予的固本培元丹，寿命有所增加,5,8,5,0,0,8000,10001,1,9,,
15,你遭遇妖兽袭击，身受轻伤,-5,-5,-3,0,0,8000,10001,1,9,,
16,你发现灵泉之水，洗经伐髓,20,12,0,5,0,7000,10001,1,9,,
17,你在宗门藏经阁借阅功法，修为精进,32,0,0,0,5,7000,10001,1,9,,
18,你不小心走火入魔，幸被师兄救下,-8,0,-5,0,-5,7000,10001,1,9,,
19,你采集到一株百年灵草，炼制成丹药服下,18,10,0,0,5,7000,10001,1,9,,
20,你参加宗门弟子切磋，小胜一场,22,12,0,8,0,8000,10005,1,9,20001,5
