ID,ItemName,ItemDesc,StackLimit,IconPath,Value,Quality
int,物品名,物品描述,叠加数量,图标路径（可替换为自定义图标）,价值,品质(0无品质/1下品/2中品/3上品)
20001,下品灵石,修仙界基础货币，蕴含微弱灵气,999999,assets/icons/item/stone_1.svg,1,0
20002,木材,坚韧的木料，可用于炼器和建造,999999,assets/icons/item/wood.svg,2,0
20003,食物,灵谷制成的干粮，可恢复体力,999999,assets/icons/item/food.svg,1,0
20004,低阶灵草,山野间常见的灵草，蕴含微弱灵气,999999,assets/icons/item/herb_1.svg,5,0
20005,中阶灵草,灵气较为充沛的灵草，药效不俗,999999,assets/icons/item/herb_2.svg,15,0
20006,高阶灵草,珍贵的灵草，蕴含浓郁灵气,999999,assets/icons/item/herb_3.svg,50,0
20007,极品灵草,世间罕见的灵草，灵气充盈异常,999999,assets/icons/item/herb_4.svg,150,0
20008,仙灵草,传说中的灵草，据说蕴含仙气,999999,assets/icons/item/herb_5.svg,500,0
20009,中品灵石,品质较好的灵石，灵气充沛,999999,assets/icons/item/stone_2.svg,1000,0
20010,上品灵石,上乘灵石，蕴含浓郁灵气,999999,assets/icons/item/stone_3.svg,1000000,0
20011,极品灵石,极为罕见的灵石，灵气磅礴,999999,assets/icons/item/stone_4.svg,1000000000,0
20012,灵晶,传说中的灵晶，蕴含近乎无穷的灵气,999999,assets/icons/item/stone_5.svg,1.00E+12,0
30001,低阶灵草种子,蕴含微弱生机的种子，种下后可收获低阶灵草,999999,assets/icons/item/seed_1.svg,3,0
30002,中阶灵草种子,蕴含一定生机的种子，种下后可收获中阶灵草,999999,assets/icons/item/seed_2.svg,10,0
30003,高阶灵草种子,蕴含充沛生机的种子，种下后可收获高阶灵草,999999,assets/icons/item/seed_3.svg,30,0
30004,极品灵草种子,蕴含浓郁生机的种子，种下后可收获极品灵草,999999,assets/icons/item/seed_4.svg,100,0
30005,仙灵草种子,传说级别的种子，种下后可收获仙灵草,999999,assets/icons/item/seed_5.svg,300,0
30011,灵谷种子,蕴含微弱灵气的谷种，种下后可收获食物,999999,assets/icons/item/seed_1.svg,2,0
