ID,EquipmentName,IconPath,Column,EquipmentQuality,Desc,Xiuyi,Tipao,Shouming,Qiyun,Yuanshen,LevelMin,LevelMax,Value
string,装备名,图标路径（可替换为自定义图标）,栏位（1.剑，2.甲，3.手，4.腿，5.鞋子，6. 法宝）,装备品质（1.白，2.蓝，3.紫，4.粉，5.金）,装备描述,修为,体魄,寿命,气运,元神,1,3,价值
10001,凡铁剑,assets/icons/equip/sword_q1.svg,1,1,一把普通的铁剑，适合练气初期修炼,5,0,0,0,0,1,3,10
10002,粗布衣,assets/icons/equip/armor_q1.svg,2,1,一件简陋的粗布衣，勉强能御寒,0,5,0,0,0,1,3,10
10003,木镯,assets/icons/equip/bracelet_q1.svg,3,1,一对普通的木镯，没什么特殊效果,0,2,0,0,0,1,3,8
10004,布鞋,assets/icons/equip/boot_q1.svg,5,1,一双普通的布鞋，适合练气期行走,0,5,0,0,0,1,3,10
10005,石佩,assets/icons/equip/treasure_q1.svg,6,1,一块普通的石头雕刻的佩饰,2,0,0,0,0,1,3,8
10006,青铜剑,assets/icons/equip/sword_q1.svg,1,1,一把青铜剑，比凡铁略强,8,0,0,0,0,1,3,15
10007,麻衣,assets/icons/equip/armor_q1.svg,2,1,一件麻布制成的衣服,0,8,0,0,0,1,3,15
10008,铜镯,assets/icons/equip/bracelet_q1.svg,3,1,一对铜制的镯子,0,3,0,0,0,1,3,12
10009,草鞋,assets/icons/equip/boot_q1.svg,5,1,一双草鞋，轻便但耐穿,0,7,0,0,0,1,3,12
10010,玉佩,assets/icons/equip/treasure_q1.svg,6,1,一块普通的玉佩,3,0,0,0,0,1,3,12
10011,精铁剑,assets/icons/equip/sword_q1.svg,1,1,一把精铁打造的剑，适合练气初期,12,0,0,0,0,1,3,20
10012,棉袍,assets/icons/equip/armor_q1.svg,2,1,一件棉袍，保暖性不错,0,13,0,0,0,1,3,20
10013,银镯,assets/icons/equip/bracelet_q1.svg,3,1,一对银镯，略有灵性,2,4,0,0,0,1,3,18
10014,皮靴,assets/icons/equip/boot_q1.svg,5,1,一双兽皮靴子，结实耐穿,0,11,0,0,0,1,3,18
10015,灵石,assets/icons/equip/treasure_q1.svg,6,1,一块下品灵石,5,0,0,0,0,1,3,15
10016,灵铁剑,assets/icons/equip/sword_q1.svg,1,1,一把灵铁剑，蕴含微弱灵气,15,0,0,0,0,1,3,25
10017,灵布衣,assets/icons/equip/armor_q1.svg,2,1,一件灵布制成的衣裳,0,16,0,0,0,1,3,25
10018,灵镯,assets/icons/equip/bracelet_q1.svg,3,1,一对灵镯，可略微汇聚灵气,5,5,0,0,0,1,3,22
10019,灵靴,assets/icons/equip/boot_q1.svg,5,1,一双灵靴，轻便舒适,0,13,0,0,0,1,3,22
10020,灵玉佩,assets/icons/equip/treasure_q1.svg,6,1,一块灵玉佩，可安神,6,0,0,0,0,1,3,20
10021,寒铁剑,assets/icons/equip/sword_q2.svg,1,2,一把寒铁剑，适合练气二层修炼,20,0,0,0,0,6,8,50
10022,青袍,assets/icons/equip/armor_q2.svg,2,2,一件青色道袍，适合练气期修士,0,20,0,0,0,6,8,50
10023,冰镯,assets/icons/equip/bracelet_q2.svg,3,2,一对冰镯，可清心,5,6,0,0,0,6,8,45
10024,云靴,assets/icons/equip/boot_q2.svg,5,2,一双云纹靴，踏雪无痕,0,17,0,0,0,6,8,50
10025,玄玉佩,assets/icons/equip/treasure_q2.svg,6,2,一块玄玉佩，可凝神,8,0,0,0,0,6,8,45
10026,青锋剑,assets/icons/equip/sword_q2.svg,1,2,一把青锋剑，锋利无比,25,0,0,0,0,6,8,60
10027,青云袍,assets/icons/equip/armor_q2.svg,2,2,一件青云袍，飘逸非凡,0,25,0,0,0,6,8,60
10028,青云镯,assets/icons/equip/bracelet_q2.svg,3,2,一对青云镯，可聚灵,8,8,0,0,0,6,8,55
10029,追风靴,assets/icons/equip/boot_q2.svg,5,2,一双追风靴，步法轻快,0,22,0,0,0,6,8,55
10030,青玉佩,assets/icons/equip/treasure_q2.svg,6,2,一块青玉佩，养气安神,10,0,0,0,0,6,8,50
10031,灵剑,assets/icons/equip/sword_q2.svg,1,2,一把灵剑，适合练气三层,30,0,0,0,0,6,8,70
10032,道袍,assets/icons/equip/armor_q2.svg,2,2,一件道袍，修士标配,0,30,0,0,0,6,8,70
10033,护心镜,assets/icons/equip/bracelet_q2.svg,3,2,一面护心镜，护心养脉,10,10,0,0,0,6,8,65
10034,灵石,assets/icons/equip/leg_q2.svg,4,2,一块灵石，可增气运,0,0,0,15,0,6,8,60
10035,神符,assets/icons/equip/boot_q2.svg,5,2,一张神符，可辟邪,0,0,0,0,15,6,8,60
10036,玉佩,assets/icons/equip/treasure_q2.svg,6,2,一块玉佩，可养元神,12,0,0,0,5,6,8,55
10037,飞剑,assets/icons/equip/sword_q2.svg,1,2,一把飞剑，可御剑飞行,35,0,0,0,0,6,8,80
10038,战甲,assets/icons/equip/armor_q2.svg,2,2,一件战甲，防御力强,0,30,0,0,0,6,8,75
10039,宝鉴,assets/icons/equip/leg_q2.svg,4,2,一本宝鉴，可增气运,0,0,0,25,0,6,8,70
10040,神剑,assets/icons/equip/sword_q2.svg,1,2,一把神剑，蕴含神力,40,0,0,0,0,6,8,90
10041,天衣,assets/icons/equip/armor_q2.svg,2,2,一件天衣，防御力极强,0,40,0,0,0,6,8,85
10042,灵珠,assets/icons/equip/bracelet_q2.svg,3,2,一颗灵珠，可增气运,5,5,0,20,15,6,8,80
10043,神靴,assets/icons/equip/boot_q2.svg,5,2,一双神靴，轻便快捷,0,25,0,0,0,6,8,70
10044,仙剑,assets/icons/equip/sword_q3.svg,1,3,一把仙剑，适合练气中期,45,0,0,0,0,9,13,200
10045,灵甲,assets/icons/equip/armor_q3.svg,2,3,一件灵甲，防御力不俗,0,50,0,0,0,9,13,200
10046,宝镯,assets/icons/equip/bracelet_q3.svg,3,3,一对宝镯，可增气运,20,10,0,25,0,9,13,180
10047,仙石,assets/icons/equip/leg_q3.svg,4,3,一块仙石，可增气运元神,10,5,0,30,20,9,13,250
10048,神靴,assets/icons/equip/boot_q3.svg,5,3,一双神靴，轻便迅速,0,35,0,0,0,9,13,180
10049,玉简,assets/icons/equip/treasure_q3.svg,6,3,一枚玉简，可增修为,25,0,0,0,0,9,13,160
10050,青莲剑,assets/icons/equip/sword_q3.svg,1,3,一把青莲剑，蕴含灵力,50,10,0,0,0,9,13,250
10051,青莲甲,assets/icons/equip/armor_q3.svg,2,3,一件青莲甲，防御强,0,60,0,0,0,9,13,250
10052,青莲镯,assets/icons/equip/bracelet_q3.svg,3,3,一对青莲镯，可聚灵,25,15,0,30,0,9,13,230
10053,青莲靴,assets/icons/equip/boot_q3.svg,5,3,一双青莲靴，步法精妙,0,45,0,0,0,9,13,220
10054,青莲佩,assets/icons/equip/treasure_q3.svg,6,3,一块青莲佩，可养神,30,0,0,0,0,9,13,200
10055,紫光剑,assets/icons/equip/sword_q3.svg,1,3,一把紫光剑，灵力充盈,55,15,0,0,0,9,13,300
10056,紫光甲,assets/icons/equip/armor_q3.svg,2,3,一件紫光甲，防御卓越,0,70,0,0,0,9,13,300
10057,紫光镯,assets/icons/equip/bracelet_q3.svg,3,3,一对紫光镯，灵力充沛,30,20,0,35,0,9,13,280
10058,紫光靴,assets/icons/equip/boot_q3.svg,5,3,一双紫光靴，速度快,0,55,0,0,0,9,13,260
10059,紫光佩,assets/icons/equip/treasure_q3.svg,6,3,一块紫光佩，可增元神,35,0,0,0,10,9,13,250
10060,金丹,assets/icons/equip/sword_q3.svg,1,3,一枚金丹，适合练气后期,60,0,0,0,20,9,13,350
10061,金甲,assets/icons/equip/armor_q3.svg,2,3,一件金甲，坚固无比,0,80,0,0,0,9,13,350
10062,金镯,assets/icons/equip/bracelet_q3.svg,3,3,一对金镯，可增修为,35,25,0,0,0,9,13,300
10063,金靴,assets/icons/equip/boot_q3.svg,5,3,一双金靴，轻便坚固,0,65,0,0,0,9,13,300
